CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
48091310902,Texas,Comal County,0,5951,2071,0,0,0.00,0,0,0,0,0,0,2.0,80332,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,5660,95.10,972,16.34,1551,26.06,624,10.49,4949,83.16,93,1.56,60,1.01,5,0.08,52,0.88,500,8.41,1399,23.51,21,1.02,77,3.73,5154,86.61,841,14.14,1417,23.81,586,9.85,4583,77.00,86,1.44,42,0.70,5,0.08,50,0.83,390,6.55,1169,19.65,20,0.94,70,3.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1737,1624,641,5155,97,73,5,54,567,1529,34,130
48091310903,Texas,Comal County,0,3790,1335,0,6,0.16,0,0,0,0,0,0,4.1,118073,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,3790,100.00,284,7.48,994,26.23,466,12.30,3573,94.27,39,1.03,31,0.82,0,0.00,20,0.53,127,3.35,431,11.37,34,2.52,14,1.02,3788,99.96,283,7.48,994,26.22,466,12.29,3572,94.25,39,1.03,31,0.82,0,0.00,20,0.52,127,3.35,430,11.36,34,2.52,14,1.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,414,994,466,3573,39,31,0,20,127,431,49,20
48093950100,Texas,Comanche County,0,4424,1837,0,37,0.84,0,0,0,0,0,1,15.7,55223,0,0,0,0,0,0,0,0,106,106,NULL,19,19,NULL,3687,83.35,1123,25.38,813,18.37,816,18.45,3405,76.96,10,0.23,4,0.09,0,0.00,13,0.30,256,5.78,626,14.15,55,2.98,137,7.47,2188,49.45,593,13.41,422,9.53,546,12.35,2027,45.82,4,0.09,4,0.09,0,0.00,8,0.19,144,3.26,249,5.64,10,0.56,84,4.55,106,2.39,19,0.43,18,0.41,29,0.66,95,2.14,0,0.00,0,0.00,0,0.00,0,0.00,11,0.25,17,0.39,0,0.00,5,0.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1303,1026,939,4054,11,8,0,23,328,901,103,157
48093950200,Texas,Comanche County,0,3387,1399,0,0,0.00,0,0,0,0,0,0,8.9,70682,1,1,0,0,0,1,0,0,535,535,NULL,126,126,NULL,3367,99.41,981,28.96,701,20.70,817,24.12,3035,89.61,6,0.18,8,0.24,1,0.03,18,0.53,299,8.82,549,16.20,0,0.00,35,2.49,3070,90.65,888,26.22,635,18.76,747,22.04,2798,82.60,6,0.18,8,0.23,1,0.03,18,0.53,240,7.08,446,13.16,0,0.00,32,2.28,535,15.79,126,3.71,107,3.15,146,4.32,499,14.73,1,0.03,2,0.06,0,0.00,5,0.16,28,0.81,36,1.07,0,0.00,6,0.40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,955,705,823,3052,6,8,1,18,302,552,0,34
48093950300,Texas,Comanche County,1,4147,1567,0,121,2.92,1,1,1,1,1,1,23.6,43036,1,1,1,1,1,0,0,1,882,2682,882,408,1274,408,2682,64.68,1274,30.73,756,18.22,498,12.02,2310,55.70,13,0.32,4,0.10,0,0.00,20,0.48,335,8.08,1004,24.21,129,8.21,241,15.39,882,21.26,408,9.84,236,5.70,161,3.89,798,19.23,3,0.08,0,0.00,0,0.00,6,0.14,75,1.80,267,6.43,56,3.58,89,5.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1997,1125,774,3594,21,15,0,35,482,1507,149,368
48093950400,Texas,Comanche County,0,2016,777,0,3,0.15,0,0,0,0,0,0,14.2,56555,1,1,0,0,0,1,0,0,1419,1419,NULL,556,556,NULL,2016,100.00,779,38.63,524,25.99,387,19.20,1717,85.17,15,0.74,4,0.20,3,0.15,16,0.79,261,12.95,645,31.99,21,2.65,29,3.71,2016,100.00,779,38.63,524,25.99,387,19.20,1717,85.17,15,0.74,4,0.20,3,0.15,16,0.79,261,12.95,645,31.99,21,2.65,29,3.71,1419,70.37,556,27.60,365,18.12,267,13.25,1217,60.39,11,0.55,1,0.05,3,0.15,10,0.50,176,8.75,475,23.56,18,2.34,20,2.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,717,524,387,1717,15,4,3,16,261,645,19,24
48095950300,Texas,Concho County,0,4087,1041,0,1588,38.85,0,0,0,0,0,0,7.3,57875,1,1,0,0,0,1,0,0,1091,1091,71,492,492,35,1833,44.85,723,17.68,382,9.35,435,10.65,1637,40.05,5,0.12,4,0.10,0,0.00,9,0.22,178,4.36,449,10.99,42,4.05,31,3.00,1340,32.78,532,13.02,261,6.38,332,8.13,1191,29.14,3,0.07,4,0.10,0,0.00,9,0.22,133,3.25,285,6.97,19,1.84,24,2.28,1091,26.69,492,12.05,203,4.97,281,6.87,967,23.67,3,0.07,4,0.10,0,0.00,9,0.22,108,2.63,230,5.62,17,1.65,20,1.89,71,1.73,35,0.85,6,0.15,29,0.71,68,1.66,1,0.01,1,0.01,0,0.00,0,0.00,2,0.04,4,0.09,1,0,1,0.13,1228,577,560,3553,77,14,5,16,422,2173,64,36
48097000100,Texas,Cooke County,0,5892,2135,0,269,4.57,0,0,0,0,0,0,12.4,72944,0,0,0,0,0,0,0,0,203,203,NULL,74,74,NULL,5892,100.00,1736,29.47,1585,26.90,811,13.76,5334,90.53,153,2.60,17,0.29,2,0.03,62,1.05,324,5.50,421,7.15,63,2.95,246,11.54,5832,98.98,1718,29.16,1570,26.65,804,13.64,5281,89.63,153,2.60,17,0.29,2,0.03,60,1.02,319,5.41,414,7.02,62,2.89,244,11.41,203,3.44,74,1.26,53,0.91,31,0.52,174,2.95,6,0.10,1,0.02,0,0.00,4,0.07,17,0.29,31,0.52,1,0.07,9,0.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1822,1585,811,5334,153,17,2,62,324,421,78,285
48097000200,Texas,Cooke County,0,5025,1913,0,30,0.60,0,0,0,0,0,0,5.2,96029,0,0,0,0,0,0,0,0,231,231,NULL,42,42,NULL,4315,85.87,838,16.68,1172,23.31,692,13.76,4165,82.88,2,0.04,23,0.45,0,0.00,21,0.42,104,2.08,141,2.81,47,2.44,41,2.17,3398,67.61,649,12.91,921,18.32,514,10.23,3268,65.04,2,0.04,16,0.32,0,0.00,17,0.34,94,1.88,115,2.28,28,1.45,33,1.71,231,4.59,42,0.83,47,0.93,47,0.93,212,4.22,0,0.00,1,0.02,0,0.00,3,0.06,15,0.29,22,0.43,3,0.16,3,0.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,983,1362,797,4857,4,26,0,21,117,175,60,49
48097000400,Texas,Cooke County,1,1965,666,0,180,9.16,1,1,1,0,0,1,17.4,38875,1,1,1,1,1,0,0,0,641,1467,641,356,823,356,1467,74.66,823,41.89,355,18.09,221,11.23,1099,55.92,105,5.34,24,1.20,0,0.00,18,0.92,222,11.29,363,18.49,73,10.92,74,11.12,641,32.64,356,18.11,156,7.94,63,3.22,487,24.77,38,1.94,17,0.87,0,0.00,15,0.77,84,4.30,129,6.58,46,6.91,38,5.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1044,519,263,1293,228,24,1,23,396,593,93,112
48097000500,Texas,Cooke County,1,3609,1374,0,49,1.36,0,1,0,1,1,1,51.6,30698,0,1,0,1,0,0,0,1,31,1582,31,24,1278,24,1582,43.84,1278,35.41,448,12.40,237,6.56,1211,33.55,59,1.65,36,0.99,0,0.00,36,1.00,240,6.66,503,13.93,154,11.21,183,13.28,31,0.87,24,0.67,1,0.03,5,0.15,31,0.86,0,0.00,0,0.00,0,0.00,0,0.01,0,0.00,0,0.01,3,0.22,4,0.29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2635,1075,439,2475,197,104,10,71,752,1395,250,415
48097000600,Texas,Cooke County,1,4486,1755,0,65,1.45,0,1,0,0,0,1,18.7,53456,0,1,0,1,0,0,0,0,9,2304,9,2,801,2,2304,51.35,801,17.86,527,11.74,495,11.03,1909,42.55,83,1.84,9,0.19,0,0.00,30,0.67,273,6.09,420,9.37,22,1.23,150,8.57,9,0.19,2,0.05,1,0.02,3,0.08,8,0.18,0,0.00,0,0.00,0,0.00,0,0.00,1,0.01,1,0.01,0,0.00,1,0.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1972,1138,746,3509,202,25,0,54,696,1074,63,304
48097000700,Texas,Cooke County,0,6531,2683,0,0,0.00,0,0,0,0,1,0,3.6,86961,0,0,0,0,0,0,0,1,89,89,NULL,12,12,NULL,6531,100.00,954,14.60,1200,18.37,1509,23.11,6141,94.03,47,0.72,21,0.32,2,0.03,60,0.92,260,3.98,427,6.54,148,5.51,114,4.24,6531,100.00,954,14.60,1200,18.37,1509,23.11,6141,94.03,47,0.72,21,0.32,2,0.03,60,0.92,260,3.98,427,6.54,148,5.51,114,4.24,89,1.36,12,0.19,21,0.32,10,0.16,80,1.22,2,0.03,0,0.00,0,0.00,1,0.01,7,0.11,11,0.17,3,0.11,1,0.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1035,1200,1509,6141,47,21,2,60,260,427,149,123
48097000900,Texas,Cooke County,0,4774,1759,0,0,0.00,0,0,0,0,0,0,4.8,79175,1,1,0,0,0,1,0,0,735,735,NULL,108,108,NULL,4774,100.00,931,19.50,1268,26.56,644,13.49,4453,93.28,20,0.42,27,0.57,0,0.00,51,1.07,223,4.67,431,9.03,53,2.99,106,6.04,4774,100.00,931,19.50,1268,26.56,644,13.49,4453,93.28,20,0.42,27,0.57,0,0.00,51,1.07,223,4.67,431,9.03,53,2.99,106,6.04,735,15.39,108,2.26,191,4.01,121,2.53,669,14.02,3,0.06,5,0.10,0,0.00,9,0.18,49,1.02,57,1.20,4,0.21,17,0.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,930,1268,644,4453,20,27,0,51,223,431,51,111
48097001100,Texas,Cooke County,1,6155,2228,0,93,1.51,0,0,0,0,0,0,15.7,58205,1,1,1,1,1,0,0,0,1516,4621,1516,422,1431,422,4621,75.08,1431,23.25,1237,20.10,731,11.87,3754,61.00,154,2.51,40,0.65,1,0.02,45,0.73,626,10.18,1018,16.53,65,2.91,304,13.67,1516,24.63,422,6.85,376,6.11,255,4.15,1270,20.63,65,1.06,13,0.21,0,0.00,20,0.32,148,2.41,249,4.05,23,1.02,103,4.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1970,1684,891,4881,203,46,4,60,961,1481,77,412
48099010101,Texas,Coryell County,0,3606,1394,0,0,0.00,0,0,0,0,0,0,9.4,69881,1,1,0,0,0,1,0,0,886,886,NULL,217,217,NULL,3196,88.63,1001,27.77,769,21.33,528,14.63,2955,81.95,20,0.55,7,0.19,1,0.03,19,0.52,194,5.38,263,7.30,43,3.06,127,9.09,3085,85.56,963,26.70,744,20.62,510,14.14,2861,79.34,20,0.54,7,0.19,1,0.03,18,0.49,179,4.97,234,6.48,41,2.94,123,8.79,886,24.57,217,6.01,203,5.64,175,4.86,833,23.11,5,0.14,1,0.04,0,0.00,3,0.08,43,1.20,51,1.43,8,0.57,37,2.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1192,879,586,3313,25,7,1,19,241,339,51,141
48099010102,Texas,Coryell County,0,3276,1272,0,0,0.00,0,0,0,0,0,0,7.7,65938,1,1,0,0,0,1,0,0,2005,2005,21,564,564,6,3276,100.00,904,27.58,788,24.05,565,17.25,3029,92.46,30,0.92,10,0.31,3,0.09,41,1.25,163,4.98,332,10.13,54,4.25,108,8.46,3276,100.00,904,27.58,788,24.05,565,17.25,3029,92.46,30,0.92,10,0.31,3,0.09,41,1.25,163,4.98,332,10.13,54,4.25,108,8.46,2005,61.21,564,17.22,460,14.04,396,12.10,1849,56.43,10,0.29,7,0.20,3,0.09,31,0.95,106,3.25,212,6.46,45,3.52,68,5.31,21,0.64,6,0.18,3,0.10,5,0.15,20,0.60,0,0.00,0,0.00,0,0.00,0,0.00,1,0.04,1,0.03,1,0,1,0.06,878,788,565,3029,30,10,3,41,163,332,57,112
48099010201,Texas,Coryell County,1,7806,47,1,7695,98.58,0,0,0,0,0,0,15.7,63077,1,1,1,1,1,0,0,0,7806,7806,7806,2655,2655,2655,7806,100.00,2655,34.01,28,0.36,76,0.97,4671,59.84,2608,33.41,22,0.28,0,0.00,30,0.38,475,6.09,1379,17.67,0,0.00,0,0.00,7806,100.00,2655,34.01,28,0.36,76,0.97,4671,59.84,2608,33.41,22,0.28,0,0.00,30,0.38,475,6.09,1379,17.67,0,0.00,0,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85,28,76,4671,2608,22,0,30,475,1379,0,0
48099010202,Texas,Coryell County,0,4998,1971,0,53,1.06,0,0,0,1,1,1,16.5,53287,0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,4235,84.73,1735,34.72,1134,22.70,635,12.71,3650,73.04,138,2.75,40,0.81,2,0.04,28,0.56,377,7.53,591,11.83,112,5.68,257,13.02,2292,45.86,809,16.19,566,11.32,369,7.39,2035,40.72,43,0.85,16,0.32,0,0.00,16,0.31,183,3.66,262,5.25,62,3.13,140,7.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2159,1321,739,4269,202,47,2,30,448,686,144,327
48099010300,Texas,Coryell County,0,2564,793,0,590,23.01,0,0,0,0,0,1,15.7,46615,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2039,79.52,1125,43.87,376,14.67,290,11.32,1560,60.85,262,10.23,3,0.13,0,0.00,22,0.86,191,7.45,390,15.20,59,7.49,138,17.34,1809,70.56,983,38.32,316,12.33,258,10.05,1366,53.29,258,10.06,2,0.08,0,0.00,22,0.86,161,6.28,347,13.53,45,5.71,118,14.89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,952,496,349,2005,294,6,0,23,236,474,82,162
48099010400,Texas,Coryell County,0,4083,1598,0,0,0.00,0,0,0,0,0,0,14.0,60387,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,3179,77.86,897,21.97,859,21.04,489,11.98,2803,68.65,66,1.62,19,0.47,2,0.05,21,0.51,268,6.56,353,8.65,53,3.32,144,9.01,1929,47.26,431,10.56,523,12.81,284,6.96,1739,42.60,31,0.76,12,0.30,2,0.05,14,0.35,130,3.20,173,4.24,12,0.76,86,5.39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1498,1136,594,3575,89,25,2,29,363,508,84,193
48099010501,Texas,Coryell County,1,5245,1216,0,0,0.00,1,1,1,0,0,1,25.3,42611,1,1,1,1,1,0,0,0,5245,5245,5245,3710,3710,3710,5245,100.00,3710,70.73,2840,54.15,4,0.08,3296,62.84,974,18.57,81,1.54,119,2.27,54,1.03,721,13.75,1229,23.43,15,1.24,44,3.61,5245,100.00,3710,70.73,2840,54.15,4,0.08,3296,62.84,974,18.57,81,1.54,119,2.27,54,1.03,721,13.75,1229,23.43,15,1.24,44,3.61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2171,2840,4,3296,974,81,119,54,721,1229,8,28
48099010502,Texas,Coryell County,1,4296,939,0,204,4.75,1,1,1,0,0,1,20.8,48910,1,1,1,1,1,0,0,0,4296,4296,4296,2467,2467,2467,4296,100.00,2467,57.42,2190,50.98,6,0.14,2328,54.19,985,22.93,122,2.84,107,2.49,55,1.28,699,16.27,945,22.00,13,1.43,29,3.12,4296,100.00,2467,57.42,2190,50.98,6,0.14,2328,54.19,985,22.93,122,2.84,107,2.49,55,1.28,699,16.27,945,22.00,13,1.43,29,3.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1380,2190,6,2328,985,122,107,55,699,945,9,19
48099010503,Texas,Coryell County,1,2614,0,1,2614,100.00,0,0,0,0,0,0,0.0,NULL,1,1,1,1,1,0,0,0,2614,2614,2614,0,0,0,2614,100.00,0,0.00,0,0.00,0,0.00,1844,70.54,424,16.22,85,3.25,22,0.84,36,1.38,203,7.77,389,14.88,0,0.00,0,0.00,2614,100.00,0,0.00,0,0.00,0,0.00,1844,70.54,424,16.22,85,3.25,22,0.84,36,1.38,203,7.77,389,14.88,0,0.00,0,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0.00,0,0,0,1844,424,85,22,36,203,389,0,0
48099010504,Texas,Coryell County,1,2671,654,0,94,3.52,1,1,1,0,0,1,8.4,51250,1,1,1,1,1,0,0,0,2556,2671,2556,1532,1601,1532,2671,100.00,1601,59.94,1336,50.02,6,0.22,1583,59.27,484,18.12,84,3.14,46,1.72,27,1.01,447,16.74,597,22.35,17,2.61,82,12.56,2556,95.68,1532,57.35,1297,48.57,6,0.22,1550,58.03,453,16.95,60,2.25,45,1.68,27,1.01,421,15.77,572,21.41,16,2.50,79,12.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1022,1336,6,1583,484,84,46,27,447,597,11,53
48099010601,Texas,Coryell County,1,4353,1746,0,108,2.48,1,1,1,1,1,1,23.1,48063,1,1,1,1,1,0,0,1,3896,4334,3896,1872,2041,1872,4334,99.57,2041,46.89,1152,26.47,321,7.36,2579,59.24,975,22.39,137,3.16,75,1.72,54,1.24,515,11.83,652,14.98,159,9.12,329,18.86,3896,89.50,1872,43.00,1053,24.19,259,5.95,2287,52.53,903,20.74,107,2.47,63,1.45,45,1.03,492,11.29,604,13.87,156,8.95,298,17.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1935,1157,322,2593,976,138,75,55,516,653,154,329
48099010603,Texas,Coryell County,1,5318,1900,0,82,1.54,1,1,1,0,0,1,13.7,48854,1,1,1,1,1,0,0,0,5318,5318,5318,2263,2263,2263,5318,100.00,2263,42.55,1621,30.48,275,5.17,3496,65.74,999,18.79,149,2.80,53,1.00,54,1.02,567,10.66,820,15.42,65,3.44,293,15.44,5318,100.00,2263,42.55,1621,30.48,275,5.17,3496,65.74,999,18.79,149,2.80,53,1.00,54,1.02,567,10.66,820,15.42,65,3.44,293,15.44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2149,1621,275,3496,999,149,53,54,567,820,69,306
